Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,KRA402400016,32,237.5,124893397,"3,479","25,936,342",82,359896095,4907193,212500,48327004,390081328,"38,798,822",36,"2,188",32,3,"347,997",26,"130,743",592,"265,670","191,867",,0
Water,Water,Tyla,7/28/2023,USSM12305126,33,234.6,670376179,"98,450","150,471,020",83,265180930,2566846,2114363,369150956,3932956380,"3,031,114,430",225,"486,952","1,215",180,"19,469,488",188,"40,418,532","27,555","6,049,784","6,447,136",,0
Strangers,Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233.5,750154960,"139,141","103,879,363",79,118208096,1495758,1031447,196985853,2231749390,"1,745,168,821",163,"378,114",856,113,"16,295,286",112,"20,228,317","5,331","10,938,075","7,477,917",,0
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,USSM12401865,35,231.6,532012790,"23,557","67,488,850",,62123098,923733,,,,"384,716,227",221,"151,990",64,42,"658,517",47,"31,032,977","23,005","1,516,649",,,0
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,GBAYE2300351,36,230,479417905,7,"1,519",,,,,,,,,,,,,1,"121,250,721","83,632",,"3,692,067",,0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,USUYG1541249,37,226.4,311928522,"25,766","180,237,463",96,62694868,837616,,27811667,378313942,"243,895,569",149,,141,58,"26,516,005",146,"21,453,034","30,180","4,482,348","1,707,213",,1
Lose Control,Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224.1,775135157,"88,239","180,617,454",87,139180960,1504385,396560,49060857,597513595,"4,016,801,205",215,"605,841",162,133,"42,675,181",120,"253,538,985","72,429","5,409,388","10,517,831",,0
fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,759998727,"188,142","80,392,612",80,94699547,1222012,1237229,311252391,3281790327,"140,623,676",123,"265,291","4,003",40,"2,225,409",88,"64,456,799","20,518","33,130,829","3,945,184",,1
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,214.5,3071214106,"375,201","64,901,153",71,3366447481,27240268,10342366,393814740,5861939942,"2,428,166,573",549,"573,733",169,584,"5,749,770",121,"373,294,159","844,198","37,430,204","44,842,636",,0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401994,41,212.8,214237645,"10,871","202,626,837",92,11033725,251373,251200,71078500,443104700,"148,058,631",247,"3,400",8,67,"11,523,335",125,"840,442","2,592","1,369,981","285,858",,0
