id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1151237,Sunny Modern Victorian Great San Fran Location,6309875,Rebecca,,Castro/Upper Market,37.75962,-122.43845,Entire home/apt,620,8,4,2024-08-09,0.23,1,109,2,2023-002690STR
1159284,"Telegraph Hill penthouse. Decks, views, parking.",5548292,Shaun,,North Beach,37.80403,-122.40589,Entire home/apt,325,30,6,2022-09-26,0.05,1,362,0,
1163946,2 bedroom in the heart of the Mission,1918239,Jen,,Mission,37.76111,-122.42082,Entire home/apt,,30,2,2016-10-07,0.02,1,0,0,
1174701,"Donatello, Union Square, Location! 4*",6429436,Janette,,Downtown/Civic Center,37.78903736577285,-122.40992662150074,Entire home/apt,282,2,1,2023-07-17,0.06,11,361,0,
1178260,Charming North Beach Alley Hideaway,6446722,John,,North Beach,37.80046,-122.40615,Entire home/apt,150,30,125,2024-11-01,0.90,1,251,3,
1195173,Nob Hill-Walking Distance to Downtown!,6531356,Jennifer,,Nob Hill,37.79104,-122.41551,Private room,,30,30,2024-08-15,0.22,1,241,2,
1195374,Stylish Condo in Desirable Mission Dolores,5024596,Megan,,Castro/Upper Market,37.7689,-122.42765,Entire home/apt,,45,3,2021-09-01,0.06,1,0,0,
1198464,Fabulous Blue Safe+clean+Parking+OceanView 3 Bath,5565510,Lulu,,West of Twin Peaks,37.73529,-122.46336,Private room,51,3,127,2024-09-20,0.92,5,270,2,STR-0005753
1201159,Modern Studio +View in SOMA!,6561127,Omid,,South of Market,37.78242,-122.39963,Entire home/apt,,30,44,2023-02-13,0.32,1,33,0,
1202686,"2Bed ""COZY CENTRAL""- quiet, priv yard, nr Valencia",4152942,Clara,,Mission,37.76323,-122.42195,Entire home/apt,113,30,24,2022-08-16,0.19,7,122,0,
1209738,Cozy Private One Bedroom with Kitchen,11115,Lucy,,Golden Gate Park,37.7678,-122.47557,Private room,100,30,17,2024-03-16,0.12,1,78,1,
1212513,Two Private Bedrooms & Bath-Sleep Four-Central SF,1237762,Myles,,Castro/Upper Market,37.76067,-122.4389,Private room,245,2,10,2024-09-20,0.07,2,159,3,STR-0004719
1212746,"Large 3BR SF Home! Families, Friends or Colleagues",1237762,Myles,,Castro/Upper Market,37.76018,-122.4402,Entire home/apt,996,1,128,2024-10-06,0.93,2,346,5,STR-0004719
1212822,"""Designer  Showplace  Home""  in the Marina",1700823,Jennifer,,Marina,37.80494,-122.44457,Entire home/apt,355,30,42,2023-02-22,0.30,2,345,0,STR-0001083
1223704,Quiet and Secure Townhouse in Central SoMa,1588519,Matthew,,South of Market,37.780025482177734,-122.40237426757812,Entire home/apt,203,2,51,2024-11-20,0.37,1,128,21,2023-010340STR
1225969,Million dollar Bay View home,417666,Vera,,Potrero Hill,37.75968,-122.39212,Entire home/apt,617,3,39,2024-11-11,0.30,2,157,14,2023-005636STR
1229606,SOMA Hideaway- Corporate Stays,5215262,John,,South of Market,37.77658,-122.40887,Entire home/apt,100,31,107,2024-11-07,0.77,2,365,2,
1245838,Fantastic Family Home with Beautiful Backyard,6789170,Nicole,,Bernal Heights,37.73483,-122.41838,Entire home/apt,365,3,48,2024-07-24,0.35,1,198,3,STR-0000906
1265074,Spacious SF Home with Garden and Sunset Views,6887723,Mariel,,Inner Sunset,37.7516,-122.47309,Entire home/apt,199,30,6,2024-08-16,0.14,1,358,1,
1267206,The Taupe Room & Santa Marie in SF,6081814,Nancy,,Glen Park,37.74184,-122.42423,Private room,70,3,95,2024-10-16,0.68,2,180,4,2023-008890STR
