GHGRP ID,Latitude of Plume Origin,Longitude of Plume Origin,Plume Candidate ID (UTC time of detection),Instantaneous Emission Rate (kg/h),Instantaneous Emission Rate Uncertainty (kg/h)
1006179,37.45836,-121.93914,ang20171005t185616-A,1138,691
1005493,30.6044664,-91.236189,GAO20220506t164919p0000-A,,
1006179,37.45825,-121.94126,ang20171005t185616-B,336,152
1006179,37.45932,-121.94299,ang20171005t185616-C,142,89
1006179,37.45839,-121.9471,ang20171005t185616-D,102,33
1006179,37.457,-121.93846,ang20171005t185616-E,318,307
1006179,37.4585,-121.94135,ang20171005t190757-A,497,209
1006179,37.458245,-121.941261,ang20181005t192929-C,1048,265
1006179,37.45795,-121.9415,ang20171005t190757-B,291,66
1004399,40.495638,-81.51961,ang20220630t165936-A,,
1006179,37.45984,-121.94143,ang20171005t190757-C,676,237
1006179,37.45856,-121.94696,ang20171005t190757-D,33,10
1006179,37.45825,-121.94126,ang20171005t192014-A,525,164
1006179,37.45932,-121.94299,ang20171005t192014-B,200,83
1006179,37.45839,-121.9471,ang20171005t192014-C,128,28
1003582,42.260033,-83.431929,ang20220630t152222-B,,
1006179,37.45825,-121.94126,ang20171005t192606-A,1088,476
1006179,37.45932,-121.94299,ang20171005t192606-B,571,434
1006179,37.45839,-121.9471,ang20171005t192606-C,605,372
1007345,38.21582,-121.96289,ang20171005t202112-B,37,17
1007345,38.21247,-121.97178,ang20171005t202112-C,42,16
1007345,38.21122,-121.97195,ang20171005t202112-D,121,46
1007345,38.21011,-121.97281,ang20171005t202112-E,193,109
1007345,38.20915,-121.97148,ang20171005t202112-F,455,165
1007668,38.16653,-122.56435,ang20171005t203234-A,46,15
1007668,38.16911,-122.56563,ang20171005t203234-B,42,15
1007668,38.16658,-122.5629,ang20171005t203234-C,56,20
1007668,38.1637,-122.56246,ang20171005t203234-D,134,45
1006777,40.4294078,-80.917967,ang20220630t174018-B,,
1007668,38.16244,-122.5625,ang20171005t203234-E,146,56
1007668,38.16666,-122.56473,ang20171005t203234-F,35,12
1007668,38.1682,-122.56634,ang20171005t203726-A,21,11
1007668,38.1656,-122.56708,ang20171005t203726-B,34,12
1007668,38.1637,-122.56246,ang20171005t203726-D,39,18
1003102,40.997958,-80.534188,ang20220630t194620-A,,
1007668,38.16244,-122.5625,ang20171005t203726-E,42,20
1007668,38.16496,-122.56731,ang20171005t203726-F,31,13
1007668,38.16753,-122.56821,ang20171005t203726-G,35,22
1007668,38.16875,-122.56808,ang20171005t203726-H,12,5
1004037,38.51825,-121.18505,ang20171005t211722-A,116,26
1004037,38.51656,-121.18354,ang20171005t211722-B,220,90
1004037,38.51989,-121.1903,ang20171005t211722-C,100,33
1004037,38.51901,-121.18775,ang20171005t211722-D,106,14
1004037,38.5214,-121.18779,ang20171005t211722-E,47,24
1004037,38.51783,-121.18762,ang20171005t212155-A,96,41
1004037,38.51825,-121.18505,ang20171005t212155-B,304,189
1004037,38.51656,-121.18354,ang20171005t212155-C,1058,309
1004037,38.51713,-121.18649,ang20171005t212155-D,221,42
1004037,38.51901,-121.18775,ang20171005t212155-E,96,41
1004037,38.5214,-121.18779,ang20171005t212155-F,136,23
1004011,37.99706,-121.93347,ang20171006t173826-A,147,79
1004011,37.99735,-121.9358,ang20171006t173826-B,27,11
1004011,38.00399,-121.93472,ang20171006t173826-C,141,78
1004011,38.00399,-121.93472,ang20171006t174304-A,113,54
1004011,37.99278,-121.93877,ang20171006t174304-B,154,72
1004011,37.99735,-121.9358,ang20171006t174304-C,236,121
1004011,38.00399,-121.93472,ang20171006t174757-A,95,59
1004011,37.99735,-121.9358,ang20171006t174757-B,214,100
1004011,38.00399,-121.93472,ang20171006t175330-A,97,51
1004011,37.99735,-121.9358,ang20171006t175330-B,139,63
1004011,38.00399,-121.93472,ang20171006t175832-A,60,31
1004011,37.99735,-121.9358,ang20171006t175832-B,213,89
1004011,38.00399,-121.93472,ang20171006t180357-A,187,88
1004011,37.99735,-121.9358,ang20171006t180357-B,159,79
1007345,38.20819,-121.97159,ang20171006t181027-B,318,100
1007345,38.21011,-121.97281,ang20171006t181027-E,72,46
1007345,38.20915,-121.97148,ang20171006t181027-F,319,72
1007345,38.2091,-121.97447,ang20171006t181027-G,105,23
1007345,38.20894,-121.97594,ang20171006t181027-H,684,155
1007345,38.2088,-121.98082,ang20171006t181027-I,276,75
1007345,38.20819,-121.97159,ang20171006t181633-B,220,46
1007345,38.21011,-121.97281,ang20171006t181633-E,47,28
1007345,38.20915,-121.97148,ang20171006t181633-F,233,48
1007345,38.2091,-121.97447,ang20171006t181633-G,156,44
1007345,38.20819,-121.97159,ang20171006t182247-B,77,10
1007345,38.20915,-121.97148,ang20171006t182247-F,249,76
1007345,38.2091,-121.97447,ang20171006t182247-G,551,189
1007345,38.20894,-121.97594,ang20171006t182247-H,872,296
1007801,35.505609,-97.418842,GAO20220616t165635p0000-A,,
1007345,38.20915,-121.97148,ang20171006t182928-E,217,73
1007345,38.2091,-121.97447,ang20171006t182928-F,273,167
1007345,38.20894,-121.97594,ang20171006t182928-G,711,208
1007345,38.20891,-121.97733,ang20171006t182928-H,705,252
1007040,37.75884,-121.72513,ang20171006t184157-A,126,60
1007040,37.75914,-121.72799,ang20171006t184157-B,156,60
1007040,37.75932,-121.72378,ang20171006t184157-C,122,23
1007040,37.76176,-121.72824,ang20171006t184157-D,156,60
1007699,37.75517,-121.65536,ang20171006t184157-G,29,19
1007699,37.75462,-121.65456,ang20171006t184157-H,32,23
1007699,37.75703,-121.65263,ang20171006t184157-I,69,18
1007699,37.75744,-121.64973,ang20171006t184157-J,127,26
1007699,37.75704,-121.64866,ang20171006t184157-K,105,21
1007699,37.75448,-121.65651,ang20171006t184157-M,39,29
1007699,37.75436,-121.6572,ang20171006t184157-N,92,36
1007699,37.75645,-121.65736,ang20171006t184157-O,131,23
1007699,37.75645,-121.65736,ang20171006t184753-B,95,22
1007699,37.75668,-121.65688,ang20171006t184753-C,95,22
1007699,37.75556,-121.65523,ang20171006t184753-D,106,36
1007693,33.7954282,-117.46407,ang20200906t201706-1,651,335
1007699,37.75395,-121.65477,ang20171006t184753-E,16,7
1010392,33.175128,-84.845931,GAO20220427t163724p0000-B,648,291
1007699,37.75307,-121.65464,ang20171006t184753-G,29,16
1007693,33.795464,-117.46397,ang20200906t201706-A,636,327
1007040,37.75884,-121.72513,ang20171006t185335-A,620,132
1007040,37.75932,-121.72378,ang20171006t185335-C,620,132
1007040,37.75845,-121.72578,ang20171006t185335-F,620,132
1007699,37.75474,-121.65009,ang20171006t185335-M,44,18
1007699,37.75645,-121.65736,ang20171006t185335-S,171,116
1007699,37.75744,-121.64973,ang20171006t185335-T,177,39
1007699,37.75645,-121.65736,ang20171006t185859-A,58,15
1007699,37.75668,-121.65688,ang20171006t185859-B,58,15
1002107,33.7155468,-117.69852,ang20200919t221056-1,624,149
1007699,37.75556,-121.65523,ang20171006t185859-C,138,72
1007699,37.75285,-121.65606,ang20171006t185859-D,303,222
1007699,37.75408,-121.65636,ang20171006t185859-E,110,21
1007699,37.75436,-121.6572,ang20171006t185859-F,197,36
1007699,37.75304,-121.6482,ang20171006t185859-H,712,380
1007699,37.75696,-121.65262,ang20171006t185859-I,138,72
1007699,37.75744,-121.64973,ang20171006t185859-J,635,339
1007699,37.75704,-121.64866,ang20171006t185859-K,635,339
1007699,37.75448,-121.65651,ang20171006t185859-L,304,222
1007699,37.75252,-121.65626,ang20171006t185859-M,303,222
1007699,37.75344,-121.65533,ang20171006t185859-N,337,70
1007040,37.75845,-121.72578,ang20171006t190448-A,48,26
1007040,37.75914,-121.72799,ang20171006t190448-B,112,41
1007040,37.75932,-121.72378,ang20171006t190448-C,129,27
1007040,37.76174,-121.72847,ang20171006t190448-D,112,41
1007699,37.75696,-121.65262,ang20171006t190448-F,73,33
1007699,37.75744,-121.64973,ang20171006t190448-G,145,56
1007699,37.75704,-121.64866,ang20171006t190448-H,83,12
1007699,37.75448,-121.65651,ang20171006t190448-J,48,23
1007699,37.75645,-121.65736,ang20171006t190448-K,104,21
1007699,37.75556,-121.65523,ang20171006t190448-L,87,13
